merchant,category,amt,lat,long,trans_num,merch_lat,merch_long,cc_num
fraud_Hamill-D'Amore,health_fitness,2224.84,31.8599,-102.7413,16bf2e46c54369a8eab2214649506425,32.575873,-102.60429,2703186189652095
"fraud_Rodriguez, Yost and Jenkins",misc_net,7780.52,42.5545,-90.3508,ab4b379d2c0c9c667d46508d4e126d72,42.461127,-91.147148,630423337322
fraud_Nienow PLC,entertainment,620.33,42.5545,-90.3508,47a9987ae81d99f7832a54b29a77bf4b,42.771834,-90.158365,38859492057661
"fraud_Heathcote, Yost and Kertzmann",shopping_net,1077.69,30.459,-90.9027,fe956c7e4a253c437c18918bf96f7b62,31.204974,-90.261595,3534093764340240
fraud_Hermann and Sons,shopping_pos,4842.65,31.8599,-102.7413,f6838c01f5d2262006e6b71d33ba7c6d,31.315782,-102.73639,375534208663984
fraud_Thompson-Gleason,health_fitness,22.55,27.633,-80.4031,0bac42920027f9b7b3d328bda2709983,28.396402,-80.819469,4767265376804500
fraud_Kuhic LLC,shopping_net,1128.26,30.459,-90.9027,eb388ceabaf56474808664772b2d5853,30.354797,-91.146131,30074693890476
"fraud_Reichert, Rowe and Mraz",shopping_net,931.82,30.459,-90.9027,aff46f2741b3501d32b447f842618666,30.761363,-91.7136,6011360759745864
"fraud_Kihn, Abernathy and Douglas",shopping_net,983,30.459,-90.9027,8cabf98e58e2b29f7684362fea1f026c,29.902451,-91.749089,4922710831011201
fraud_Lemke-Gutmann,shopping_net,955.16,42.5545,-90.3508,1799ffe421a2a05dc87903e379140f55,43.027879,-90.493768,2720830304681674
"fraud_Rodriguez, Yost and Jenkins",misc_net,701.81,30.459,-90.9027,720905fa777ec90291cfd002fd12d67f,30.652786,-90.206798,4642894980163
"fraud_Yost, Block and Koepp",misc_pos,8.39,27.633,-80.4031,5461e8c92d8b6512c620b2f943ff8ffa,27.059901,-80.32383,377234009633447
"fraud_Goldner, Kovacek and Abbott",grocery_pos,326.94,30.459,-90.9027,219c46c355f98b732d9a36818c5b8a88,29.784597,-90.671894,180042946491150
fraud_Bechtelar-Rippin,food_dining,7.93,41.4575,-74.1659,d0d2b5cca5ae19e0a07dc7ef5d51e59e,40.71168,-73.668384,5559857416065248
fraud_Skiles-Ankunding,grocery_net,13.25,27.633,-80.4031,d40a602f3d62fc3849bacd25c413952b,27.874482,-80.381534,3514865930894695
fraud_Kuhn LLC,shopping_pos,777.45,27.633,-80.4031,20ffa4abb3d483d9558c33640be75066,27.913215,-80.423565,6011999606625827
fraud_Hickle Group,shopping_pos,2.33,24.6557,-81.3824,00da72495351ce6bd9ecb75d51cca89b,24.306325,-81.065169,6011860238257910
"fraud_Lang, Towne and Schuppe",kids_pets,16.6,32.2779,-97.2351,67288141e8206f6f49706c1cef5b75d3,33.182349,-97.919284,3565423334076143
fraud_Morissette LLC,entertainment,80.11,30.2385,-90.8435,71bb6ee81f9af4d2a38bf6af2b614708,30.44999,-89.930996,2348245054386329
"fraud_Baumbach, Strosin and Nicolas",shopping_pos,825.81,30.459,-90.9027,d6f6c02b96059201092cab8cef7ceabf,29.477134,-90.715715,4956828990005111019
fraud_Bednar Group,misc_net,723.23,42.52,-78.6847,16aee906e2a1167ab8c20770a5b7cf79,41.673916,-78.922416,4469777115158234880
fraud_Gottlieb Group,kids_pets,37.95,38.8881,-104.6556,b14cd1ccf78a409c664bf071872a4384,39.844711,-103.975632,2305336922781618
fraud_Tillman LLC,travel,1.74,40.0987,-84.6342,d8edb8556aad03a15e2d5702948a47fb,40.117116,-84.175021,180048185037117
fraud_Veum-Koelpin,travel,6.02,45.4963,-89.7273,79f931ffc97dfe9966cd7d09613fe308,45.47444,-89.539774,630441765090
"fraud_Watsica, Haag and Considine",shopping_pos,9.87,42.9147,-83.4845,df862b772cfb9ca0d621c259df11a652,43.702833,-83.750248,4428780983793657331
fraud_Leannon-Ward,food_dining,47.06,37.6787,-122.478,3dfec697170c9155ba76464e03179724,38.048242,-123.12568,343464013864032
